bug_ID,avg_test_time_by_default,avg_test_time_by_hotswap
Math_1,4464,4198
Math_2,4415,4167
Math_3,4400,4285
Math_4,4403,4189
Math_5,4441,4124
Math_6,5584,5111
Math_7,4422,4018
Math_8,4427,4224
Math_9,4398,4143
Math_10,4654,4341
Math_11,4508,4270
Math_12,0,0
Math_13,7600,6482
Math_14,5261,5058
Math_15,3788,3523
Math_16,3648,3505
Math_17,4183,3962
Math_18,5798,5338
Math_19,5959,5599
Math_20,5897,5338
Math_21,4406,4037
Math_22,4468,4165
Math_23,4395,3969
Math_24,4395,4095
Math_25,4399,4077
Math_26,4416,4097
Math_27,4423,4169
Math_28,4422,4024
Math_29,0,4029
Math_30,4405,4013
Math_31,4587,4034
Math_32,4436,4017
Math_33,4455,4050
Math_34,4414,4041
Math_35,3497,3262
Math_36,4454,4107
Math_37,4587,4333
Math_38,6067,5499
Math_39,4403,4002
Math_40,4441,4059
Math_41,4442,4044
Math_42,4443,4057
Math_43,4448,4064
Math_44,4402,4192
Math_45,3471,3284
Math_46,4459,4114
Math_47,4468,4154
Math_48,4422,4052
Math_49,4446,4076
Math_50,4430,4000
Math_51,4421,4064
Math_52,4446,4193
Math_53,4453,4203
Math_54,3938,1247
Math_55,4425,4089
Math_56,4414,4013
Math_57,4422,4225
Math_58,4404,4003
Math_59,3778,3590
Math_60,244,64
Math_61,300,86
Math_62,185,8
Math_63,389,157
Math_64,240,60
Math_65,192,13
Math_66,187,24
Math_67,205,57
Math_68,230,53
Math_69,190,10
Math_70,172,12
Math_71,253,100
Math_72,174,10
Math_73,176,12
Math_74,276,115
Math_75,217,20
Math_76,192,26
Math_77,231,15
Math_78,176,473
Math_79,212,12
Math_80,247,586
Math_81,253,68
Math_82,219,30
Math_83,224,34
Math_84,187,25
Math_85,216,39
Math_86,187,37
Math_87,219,23
Math_88,223,26
Math_89,189,29
Math_90,191,27
Math_91,202,122
Math_92,233,14
Math_93,227,15
Math_94,235,202
Math_95,229,39
Math_96,256,17
Math_97,218,13
Math_98,248,17
Math_99,447,291
Math_100,257,30
Math_101,298,37
Math_102,316,70
Math_103,259,24
Math_104,878,659
Math_105,237,17
Math_106,241,46
